INCIDENT_AREA,EXACT_LOCATION,CRIME,WEAPON
West LA,SINGLE FAMILY DWELLING,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Devonshire,DEPARTMENT STORE,THEFT PLAIN - PETTY ($950 & UNDER),
Northeast,PARKING LOT,BURGLARY FROM VEHICLE,
Devonshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Southeast,SINGLE FAMILY DWELLING,LEWD CONDUCT,
Devonshire,SINGLE FAMILY DWELLING,THEFT PLAIN - ATTEMPT,
West Valley,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Pacific,PUBLIC STORAGE,BURGLARY,
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
N Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Pacific,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
N Hollywood,STREET,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
77th Street,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Southwest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Southeast,STREET,VEHICLE - STOLEN,
Pacific,STREET,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
N Hollywood,GARAGE/CARPORT,BURGLARY FROM VEHICLE,
Rampart,SINGLE FAMILY DWELLING,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
Southwest,STREET,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
Southeast,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
77th Street,SINGLE FAMILY DWELLING,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Van Nuys,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
West Valley,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Topanga,SINGLE FAMILY DWELLING,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
Southwest,SINGLE FAMILY DWELLING,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Southwest,SINGLE FAMILY DWELLING,CHILD ANNOYING (17YRS & UNDER),
Mission,STREET,BURGLARY FROM VEHICLE,
N Hollywood,STREET,VEHICLE - STOLEN,
Wilshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Northeast,CYBERSPACE,THEFT OF IDENTITY,
Rampart,STREET,ROBBERY,UNKNOWN WEAPON/OTHER WEAPON
Devonshire,STREET,"BUNCO, GRAND THEFT",
Northeast,STREET,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
Wilshire,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
N Hollywood,SINGLE FAMILY DWELLING,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Van Nuys,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
77th Street,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Rampart,STREET,BURGLARY FROM VEHICLE,
Northeast,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Olympic,SINGLE FAMILY DWELLING,"BUNCO, GRAND THEFT",
Newton,CYBERSPACE,THEFT OF IDENTITY,
Pacific,STREET,VEHICLE - STOLEN,
Devonshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,STREET,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Hollywood,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Newton,CYBERSPACE,THEFT OF IDENTITY,
N Hollywood,EQUIPMENT RENTAL,THEFT OF IDENTITY,
Newton,CYBERSPACE,THEFT OF IDENTITY,
N Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Central,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",INTIMATE PARTNER - AGGRAVATED ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
77th Street,SINGLE FAMILY DWELLING,ORAL COPULATION,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Newton,SINGLE FAMILY DWELLING,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),VERBAL THREAT
Harbor,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Hollywood,SINGLE FAMILY DWELLING,UNAUTHORIZED COMPUTER ACCESS,
N Hollywood,OTHER BUSINESS,THEFT OF IDENTITY,
Newton,STREET,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Topanga,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
West Valley,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Foothill,SINGLE FAMILY DWELLING,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Newton,WEBSITE,THEFT OF IDENTITY,
Van Nuys,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Newton,CYBERSPACE,THEFT OF IDENTITY,
Olympic,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,STREET,VIOLATION OF RESTRAINING ORDER,
Central,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Newton,CYBERSPACE,THEFT OF IDENTITY,
Van Nuys,CLOTHING STORE,SHOPLIFTING - PETTY THEFT ($950 & UNDER),
Mission,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Foothill,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Central,STREET,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
Hollywood,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
West Valley,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Topanga,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Olympic,OFFICE BUILDING/OFFICE,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
Rampart,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Southeast,POLICE FACILITY,OTHER MISCELLANEOUS CRIME,
Wilshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Rampart,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Southeast,MTA BUS,THEFT PLAIN - PETTY ($950 & UNDER),
Wilshire,GARAGE/CARPORT,BURGLARY,
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
West Valley,SIDEWALK,BRANDISH WEAPON,UNKNOWN WEAPON/OTHER WEAPON
West Valley,STREET,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Pacific,OTHER BUSINESS,THEFT PLAIN - PETTY ($950 & UNDER),
Southeast,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Hollenbeck,SINGLE FAMILY DWELLING,DOCUMENT FORGERY / STOLEN FELONY,
Topanga,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
77th Street,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Harbor,SPECIALTY SCHOOL/OTHER,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
West LA,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Van Nuys,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
77th Street,SINGLE FAMILY DWELLING,THEFT PLAIN - PETTY ($950 & UNDER),
77th Street,SINGLE FAMILY DWELLING,BURGLARY,
Devonshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Wilshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Harbor,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Van Nuys,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
West Valley,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Newton,STREET,VEHICLE - STOLEN,
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Harbor,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","BUNCO, GRAND THEFT",
West Valley,GARAGE/CARPORT,VEHICLE - STOLEN,
Southwest,POLICE FACILITY,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,
